Time,PSZ-AC:1:Des Heat Mass Flow [kg/s],PSZ-AC:1:Des Cool Mass Flow [kg/s],PSZ-AC:1:Des Heat Cap [W],PSZ-AC:1:Des Sens Cool Cap [W],PSZ-AC:2:Des Heat Mass Flow [kg/s],PSZ-AC:2:Des Cool Mass Flow [kg/s],PSZ-AC:2:Des Heat Cap [W],PSZ-AC:2:Des Sens Cool Cap [W],PSZ-AC:3:Des Heat Mass Flow [kg/s],PSZ-AC:3:Des Cool Mass Flow [kg/s],PSZ-AC:3:Des Heat Cap [W],PSZ-AC:3:Des Sens Cool Cap [W],PSZ-AC:4:Des Heat Mass Flow [kg/s],PSZ-AC:4:Des Cool Mass Flow [kg/s],PSZ-AC:4:Des Heat Cap [W],PSZ-AC:4:Des Sens Cool Cap [W],PSZ-AC:5:Des Heat Mass Flow [kg/s],PSZ-AC:5:Des Cool Mass Flow [kg/s],PSZ-AC:5:Des Heat Cap [W],PSZ-AC:5:Des Sens Cool Cap [W] 
00:03:00,2.501132E-01,1.843606E-01,7.877568E+03,2.191056E+03,9.038429E-01,7.312659E-02,1.962107E+04,7.304686E+02,5.621179E-01,4.337963E-02,1.213556E+04,4.333234E+02,8.845046E-01,7.312659E-02,1.925151E+04,7.304686E+02,5.612995E-01,4.337963E-02,1.211992E+04,4.333234E+02 
00:06:00,2.501135E-01,1.839822E-01,7.877574E+03,2.182749E+03,9.038437E-01,7.312659E-02,1.962108E+04,7.281760E+02,5.621184E-01,4.337963E-02,1.213557E+04,4.319634E+02,8.845053E-01,7.312659E-02,1.925152E+04,7.281760E+02,5.612999E-01,4.337963E-02,1.211993E+04,4.319634E+02 
00:09:00,2.501138E-01,1.835689E-01,7.877579E+03,2.173952E+03,9.038444E-01,7.312659E-02,1.962109E+04,7.258834E+02,5.621188E-01,4.337963E-02,1.213558E+04,4.306034E+02,8.845060E-01,7.312659E-02,1.925153E+04,7.258834E+02,5.613004E-01,4.337963E-02,1.211994E+04,4.306034E+02 
00:12:00,2.501141E-01,1.831223E-01,7.877585E+03,2.164692E+03,9.038452E-01,7.312659E-02,1.962111E+04,7.235907E+02,5.621193E-01,4.337963E-02,1.213559E+04,4.292433E+02,8.845067E-01,7.312659E-02,1.925155E+04,7.235907E+02,5.613008E-01,4.337963E-02,1.211995E+04,4.292433E+02 
00:15:00,2.501143E-01,1.826453E-01,7.877590E+03,2.155007E+03,9.038459E-01,7.312659E-02,1.962112E+04,7.212981E+02,5.621197E-01,4.337963E-02,1.213560E+04,4.278833E+02,8.845074E-01,7.312659E-02,1.925156E+04,7.212981E+02,5.613013E-01,4.337963E-02,1.211996E+04,4.278833E+02 
00:18:00,2.501146E-01,1.821397E-01,7.877596E+03,2.144923E+03,9.038466E-01,7.312659E-02,1.962114E+04,7.190055E+02,5.621202E-01,4.337963E-02,1.213561E+04,4.265233E+02,8.845081E-01,7.312659E-02,1.925157E+04,7.190055E+02,5.613017E-01,4.337963E-02,1.211996E+04,4.265233E+02 
00:21:00,2.501149E-01,1.825677E-01,7.877602E+03,2.147876E+03,9.038473E-01,7.312659E-02,1.962115E+04,7.167128E+02,5.621206E-01,4.337963E-02,1.213562E+04,4.251633E+02,8.845088E-01,7.312659E-02,1.925159E+04,7.167128E+02,5.613021E-01,4.337963E-02,1.211997E+04,4.251633E+02 
00:24:00,2.501153E-01,1.829703E-01,7.877608E+03,2.150475E+03,9.038480E-01,7.312659E-02,1.962116E+04,7.144202E+02,5.621211E-01,4.337963E-02,1.213562E+04,4.238033E+02,8.845094E-01,7.312659E-02,1.925160E+04,7.144202E+02,5.613026E-01,4.337963E-02,1.211998E+04,4.238033E+02 
00:27:00,2.501156E-01,1.833472E-01,7.877614E+03,2.152714E+03,9.038487E-01,7.312659E-02,1.962118E+04,7.121276E+02,5.621215E-01,4.337963E-02,1.213563E+04,4.224432E+02,8.845101E-01,7.312659E-02,1.925161E+04,7.121276E+02,5.613030E-01,4.337963E-02,1.211999E+04,4.224432E+02 
00:30:00,2.501159E-01,1.836992E-01,7.877620E+03,2.154606E+03,9.038494E-01,7.312659E-02,1.962119E+04,7.098349E+02,5.621219E-01,4.337963E-02,1.213564E+04,4.210832E+02,8.845108E-01,7.312659E-02,1.925162E+04,7.098349E+02,5.613034E-01,4.337963E-02,1.212000E+04,4.210832E+02 
00:33:00,2.501162E-01,1.840248E-01,7.877626E+03,2.156129E+03,9.038500E-01,7.312659E-02,1.962120E+04,7.075423E+02,5.621224E-01,4.337963E-02,1.213565E+04,4.197232E+02,8.845114E-01,7.312659E-02,1.925164E+04,7.075423E+02,5.613039E-01,4.337963E-02,1.212001E+04,4.197232E+02 
00:36:00,2.501165E-01,1.843295E-01,7.877632E+03,2.157361E+03,9.038507E-01,7.312659E-02,1.962121E+04,7.052497E+02,5.621228E-01,4.337963E-02,1.213566E+04,4.183632E+02,8.845121E-01,7.312659E-02,1.925165E+04,7.052497E+02,5.613043E-01,4.337963E-02,1.212001E+04,4.183632E+02 
00:39:00,2.501168E-01,1.846108E-01,7.877638E+03,2.158265E+03,9.038514E-01,7.312659E-02,1.962123E+04,7.029570E+02,5.621232E-01,4.337963E-02,1.213566E+04,4.170032E+02,8.845128E-01,7.312659E-02,1.925166E+04,7.029570E+02,5.613047E-01,4.337963E-02,1.212002E+04,4.170032E+02 
00:42:00,2.501172E-01,1.848704E-01,7.877644E+03,2.158867E+03,9.038520E-01,7.312659E-02,1.962124E+04,7.006644E+02,5.621236E-01,4.337963E-02,1.213567E+04,4.156431E+02,8.845134E-01,7.312659E-02,1.925167E+04,7.006644E+02,5.613051E-01,4.337963E-02,1.212003E+04,4.156431E+02 
00:45:00,2.501175E-01,1.851101E-01,7.877650E+03,2.159191E+03,9.038527E-01,7.312659E-02,1.962125E+04,6.983718E+02,5.621240E-01,4.337963E-02,1.213568E+04,4.142831E+02,8.845140E-01,7.312659E-02,1.925169E+04,6.983718E+02,5.613055E-01,4.337963E-02,1.212004E+04,4.142831E+02 
00:48:00,2.501178E-01,1.853307E-01,7.877655E+03,2.159248E+03,9.038533E-01,7.312659E-02,1.962126E+04,6.960791E+02,5.621244E-01,4.337963E-02,1.213569E+04,4.129231E+02,8.845147E-01,7.312659E-02,1.925170E+04,6.960791E+02,5.613059E-01,4.337963E-02,1.212005E+04,4.129231E+02 
00:51:00,2.501181E-01,1.855364E-01,7.877661E+03,2.159097E+03,9.038539E-01,7.312659E-02,1.962128E+04,6.937865E+02,5.621248E-01,4.337963E-02,1.213570E+04,4.115631E+02,8.845153E-01,7.312659E-02,1.925171E+04,6.937865E+02,5.613063E-01,4.337963E-02,1.212005E+04,4.115631E+02 
00:54:00,2.501184E-01,1.857236E-01,7.877667E+03,2.158687E+03,9.038546E-01,7.312659E-02,1.962129E+04,6.914939E+02,5.621252E-01,4.337963E-02,1.213570E+04,4.102031E+02,8.845159E-01,7.312659E-02,1.925172E+04,6.914939E+02,5.613067E-01,4.337963E-02,1.212006E+04,4.102031E+02 
00:57:00,2.501187E-01,1.858961E-01,7.877673E+03,2.158073E+03,9.038552E-01,7.312659E-02,1.962130E+04,6.892012E+02,5.621256E-01,4.337963E-02,1.213571E+04,4.088430E+02,8.845165E-01,7.312659E-02,1.925173E+04,6.892012E+02,5.613071E-01,4.337963E-02,1.212007E+04,4.088430E+02 
01:00:00,2.501189E-01,1.860544E-01,7.877678E+03,2.157261E+03,9.038558E-01,7.312659E-02,1.962131E+04,6.869086E+02,5.621260E-01,4.337963E-02,1.213572E+04,4.074830E+02,8.845171E-01,7.312659E-02,1.925175E+04,6.869086E+02,5.613075E-01,4.337963E-02,1.212008E+04,4.074830E+02 
01:03:00,2.501192E-01,1.862073E-01,7.877684E+03,2.157380E+03,9.038564E-01,7.312659E-02,1.962132E+04,6.853802E+02,5.621264E-01,4.337963E-02,1.213573E+04,4.065763E+02,8.845177E-01,7.312659E-02,1.925176E+04,6.853802E+02,5.613079E-01,4.337963E-02,1.212008E+04,4.065763E+02 
01:06:00,2.501195E-01,1.863551E-01,7.877689E+03,2.157429E+03,9.038570E-01,7.312659E-02,1.962134E+04,6.838517E+02,5.621268E-01,4.337963E-02,1.213573E+04,4.056697E+02,8.845183E-01,7.312659E-02,1.925177E+04,6.838517E+02,5.613083E-01,4.337963E-02,1.212009E+04,4.056697E+02 
01:09:00,2.501198E-01,1.864985E-01,7.877695E+03,2.157415E+03,9.038576E-01,7.312659E-02,1.962135E+04,6.823233E+02,5.621272E-01,4.337963E-02,1.213574E+04,4.047630E+02,8.845189E-01,7.312659E-02,1.925178E+04,6.823233E+02,5.613086E-01,4.337963E-02,1.212010E+04,4.047630E+02 
01:12:00,2.501201E-01,1.866379E-01,7.877700E+03,2.157348E+03,9.038582E-01,7.312659E-02,1.962136E+04,6.807949E+02,5.621276E-01,4.337963E-02,1.213575E+04,4.038563E+02,8.845195E-01,7.312659E-02,1.925179E+04,6.807949E+02,5.613090E-01,4.337963E-02,1.212010E+04,4.038563E+02 
01:15:00,2.501204E-01,1.867739E-01,7.877706E+03,2.157231E+03,9.038588E-01,7.312659E-02,1.962137E+04,6.792665E+02,5.621279E-01,4.337963E-02,1.213576E+04,4.029496E+02,8.845201E-01,7.312659E-02,1.925180E+04,6.792665E+02,5.613094E-01,4.337963E-02,1.212011E+04,4.029496E+02 
01:18:00,2.501207E-01,1.869070E-01,7.877711E+03,2.157074E+03,9.038594E-01,7.312659E-02,1.962138E+04,6.777380E+02,5.621283E-01,4.337963E-02,1.213576E+04,4.020429E+02,8.845207E-01,7.312659E-02,1.925181E+04,6.777380E+02,5.613098E-01,4.337963E-02,1.212012E+04,4.020429E+02 
01:21:00,2.501209E-01,1.870288E-01,7.877716E+03,2.156760E+03,9.038600E-01,7.312659E-02,1.962139E+04,6.762096E+02,5.621287E-01,4.337963E-02,1.213577E+04,4.011363E+02,8.845212E-01,7.312659E-02,1.925182E+04,6.762096E+02,5.613101E-01,4.337963E-02,1.212013E+04,4.011363E+02 
01:24:00,2.501212E-01,1.871397E-01,7.877721E+03,2.156293E+03,9.038606E-01,7.312659E-02,1.962140E+04,6.746812E+02,5.621290E-01,4.337963E-02,1.213578E+04,4.002296E+02,8.845218E-01,7.312659E-02,1.925184E+04,6.746812E+02,5.613105E-01,4.337963E-02,1.212013E+04,4.002296E+02 
01:27:00,2.501215E-01,1.872401E-01,7.877727E+03,2.155680E+03,9.038612E-01,7.312659E-02,1.962141E+04,6.731528E+02,5.621294E-01,4.337963E-02,1.213578E+04,3.993229E+02,8.845224E-01,7.312659E-02,1.925185E+04,6.731528E+02,5.613108E-01,4.337963E-02,1.212014E+04,3.993229E+02 
01:30:00,2.501218E-01,1.873305E-01,7.877732E+03,2.154927E+03,9.038617E-01,7.312659E-02,1.962142E+04,6.716244E+02,5.621298E-01,4.337963E-02,1.213579E+04,3.984162E+02,8.845229E-01,7.312659E-02,1.925186E+04,6.716244E+02,5.613112E-01,4.337963E-02,1.212015E+04,3.984162E+02 
01:33:00,2.501220E-01,1.874110E-01,7.877737E+03,2.154036E+03,9.038623E-01,7.312659E-02,1.962144E+04,6.700959E+02,5.621301E-01,4.337963E-02,1.213580E+04,3.975095E+02,8.845235E-01,7.312659E-02,1.925187E+04,6.700959E+02,5.613115E-01,4.337963E-02,1.212015E+04,3.975095E+02 
01:36:00,2.501223E-01,1.874821E-01,7.877742E+03,2.153013E+03,9.038628E-01,7.312659E-02,1.962145E+04,6.685675E+02,5.621305E-01,4.337963E-02,1.213580E+04,3.966029E+02,8.845240E-01,7.312659E-02,1.925188E+04,6.685675E+02,5.613119E-01,4.337963E-02,1.212016E+04,3.966029E+02 
01:39:00,2.501226E-01,1.875440E-01,7.877747E+03,2.151863E+03,9.038634E-01,7.312659E-02,1.962146E+04,6.670391E+02,5.621308E-01,4.337963E-02,1.213581E+04,3.956962E+02,8.845246E-01,7.312659E-02,1.925189E+04,6.670391E+02,5.613122E-01,4.337963E-02,1.212017E+04,3.956962E+02 
01:42:00,2.501228E-01,1.875970E-01,7.877752E+03,2.150586E+03,9.038639E-01,7.312659E-02,1.962147E+04,6.655107E+02,5.621312E-01,4.337963E-02,1.213582E+04,3.947895E+02,8.845251E-01,7.312659E-02,1.925190E+04,6.655107E+02,5.613126E-01,4.337963E-02,1.212017E+04,3.947895E+02 
01:45:00,2.501231E-01,1.876412E-01,7.877757E+03,2.149189E+03,9.038645E-01,7.312659E-02,1.962148E+04,6.639822E+02,5.621315E-01,4.337963E-02,1.213582E+04,3.938828E+02,8.845256E-01,7.312659E-02,1.925191E+04,6.639822E+02,5.613129E-01,4.337963E-02,1.212018E+04,3.938828E+02 
01:48:00,2.501234E-01,1.876770E-01,7.877762E+03,2.147674E+03,9.038650E-01,7.312659E-02,1.962149E+04,6.624538E+02,5.621318E-01,4.337963E-02,1.213583E+04,3.929761E+02,8.845262E-01,7.312659E-02,1.925192E+04,6.624538E+02,5.613133E-01,4.337963E-02,1.212019E+04,3.929761E+02 
01:51:00,2.501236E-01,1.877046E-01,7.877767E+03,2.146043E+03,9.038656E-01,7.312659E-02,1.962150E+04,6.609254E+02,5.621322E-01,4.337963E-02,1.213584E+04,3.920695E+02,8.845267E-01,7.312659E-02,1.925193E+04,6.609254E+02,5.613136E-01,4.337963E-02,1.212019E+04,3.920695E+02 
01:54:00,2.501239E-01,1.877243E-01,7.877772E+03,2.144302E+03,9.038661E-01,7.312659E-02,1.962151E+04,6.593970E+02,5.621325E-01,4.337963E-02,1.213584E+04,3.911628E+02,8.845272E-01,7.312659E-02,1.925194E+04,6.593970E+02,5.613139E-01,4.337963E-02,1.212020E+04,3.911628E+02 
01:57:00,2.501241E-01,1.877362E-01,7.877777E+03,2.142453E+03,9.038666E-01,7.312659E-02,1.962152E+04,6.578685E+02,5.621328E-01,4.337963E-02,1.213585E+04,3.902561E+02,8.845277E-01,7.312659E-02,1.925195E+04,6.578685E+02,5.613143E-01,4.337963E-02,1.212020E+04,3.902561E+02 
02:00:00,2.501244E-01,1.877406E-01,7.877782E+03,2.140499E+03,9.038671E-01,7.312659E-02,1.962153E+04,6.563401E+02,5.621332E-01,4.337963E-02,1.213585E+04,3.893494E+02,8.845282E-01,7.312659E-02,1.925196E+04,6.563401E+02,5.613146E-01,4.337963E-02,1.212021E+04,3.893494E+02 
02:03:00,2.501246E-01,1.877421E-01,7.877787E+03,2.139008E+03,9.038676E-01,7.312659E-02,1.962154E+04,6.551938E+02,5.621335E-01,4.337963E-02,1.213586E+04,3.886694E+02,8.845287E-01,7.312659E-02,1.925197E+04,6.551938E+02,5.613149E-01,4.337963E-02,1.212022E+04,3.886694E+02 
02:06:00,2.501249E-01,1.877407E-01,7.877791E+03,2.137478E+03,9.038681E-01,7.312659E-02,1.962155E+04,6.540475E+02,5.621338E-01,4.337963E-02,1.213587E+04,3.879894E+02,8.845293E-01,7.312659E-02,1.925198E+04,6.540475E+02,5.613152E-01,4.337963E-02,1.212022E+04,3.879894E+02 
02:09:00,2.501251E-01,1.877364E-01,7.877796E+03,2.135907E+03,9.038687E-01,7.312659E-02,1.962156E+04,6.529012E+02,5.621341E-01,4.337963E-02,1.213587E+04,3.873094E+02,8.845297E-01,7.312659E-02,1.925199E+04,6.529012E+02,5.613155E-01,4.337963E-02,1.212023E+04,3.873094E+02 
02:12:00,2.501254E-01,1.877294E-01,7.877801E+03,2.134297E+03,9.038692E-01,7.312659E-02,1.962157E+04,6.517549E+02,5.621344E-01,4.337963E-02,1.213588E+04,3.866294E+02,8.845302E-01,7.312659E-02,1.925200E+04,6.517549E+02,5.613159E-01,4.337963E-02,1.212024E+04,3.866294E+02 
02:15:00,2.501256E-01,1.877195E-01,7.877806E+03,2.132647E+03,9.038697E-01,7.312659E-02,1.962158E+04,6.506085E+02,5.621347E-01,4.337963E-02,1.213589E+04,3.859494E+02,8.845307E-01,7.312659E-02,1.925201E+04,6.506085E+02,5.613162E-01,4.337963E-02,1.212024E+04,3.859494E+02 
02:18:00,2.501259E-01,1.877067E-01,7.877810E+03,2.130957E+03,9.038701E-01,7.312659E-02,1.962159E+04,6.494622E+02,5.621351E-01,4.337963E-02,1.213589E+04,3.852693E+02,8.845312E-01,7.312659E-02,1.925201E+04,6.494622E+02,5.613165E-01,4.337963E-02,1.212025E+04,3.852693E+02 
