Time,CORE_ZN:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:BALTIMORE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_ZN:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:BALTIMORE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:BALTIMORE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_1:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:BALTIMORE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:BALTIMORE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_2:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:BALTIMORE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:BALTIMORE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_3:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:BALTIMORE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:BALTIMORE ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_ZN_4:BALTIMORE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:BALTIMORE ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s] 
00:03:00,4.038815E+03,1.991019E+03,2.084277E-01,1.536338E-01,1.460508E+04,3.305522E+02,7.532025E-01,2.550518E-02,9.083462E+03,1.518431E+02,4.684316E-01,1.171575E-02,1.429255E+04,3.223904E+02,7.370871E-01,2.487533E-02,9.070235E+03,2.723510E+02,4.677496E-01,2.101541E-02 
00:06:00,4.038819E+03,1.986934E+03,2.084279E-01,1.533185E-01,1.460509E+04,3.161431E+02,7.532031E-01,2.439324E-02,9.083470E+03,1.433256E+02,4.684320E-01,1.105850E-02,1.429256E+04,3.086418E+02,7.370877E-01,2.381437E-02,9.070243E+03,2.627617E+02,4.677499E-01,2.027534E-02 
00:09:00,4.038824E+03,1.982470E+03,2.084281E-01,1.529741E-01,1.460510E+04,3.016697E+02,7.532037E-01,2.327634E-02,9.083478E+03,1.347599E+02,4.684324E-01,1.039754E-02,1.429258E+04,2.948230E+02,7.370883E-01,2.274800E-02,9.070250E+03,2.531280E+02,4.677503E-01,1.953185E-02 
00:12:00,4.038828E+03,1.977649E+03,2.084284E-01,1.526019E-01,1.460511E+04,2.871480E+02,7.532043E-01,2.215573E-02,9.083485E+03,1.261565E+02,4.684327E-01,9.733673E-03,1.429259E+04,2.809495E+02,7.370889E-01,2.167741E-02,9.070257E+03,2.434608E+02,4.677507E-01,1.878578E-02 
00:15:00,4.038833E+03,1.972498E+03,2.084286E-01,1.522044E-01,1.460512E+04,2.726012E+02,7.532049E-01,2.103318E-02,9.083492E+03,1.175297E+02,4.684331E-01,9.067998E-03,1.429260E+04,2.670440E+02,7.370895E-01,2.060436E-02,9.070264E+03,2.337751E+02,4.677510E-01,1.803829E-02 
00:18:00,4.038838E+03,1.967039E+03,2.084289E-01,1.517831E-01,1.460513E+04,2.580460E+02,7.532055E-01,1.991000E-02,9.083500E+03,1.088899E+02,4.684335E-01,8.401337E-03,1.429261E+04,2.531227E+02,7.370901E-01,1.953009E-02,9.070272E+03,2.240821E+02,4.677514E-01,1.729024E-02 
00:21:00,4.038843E+03,1.971663E+03,2.084291E-01,1.521398E-01,1.460515E+04,2.507617E+02,7.532061E-01,1.934789E-02,9.083507E+03,1.045646E+02,4.684339E-01,8.067581E-03,1.429262E+04,2.465489E+02,7.370906E-01,1.902280E-02,9.070279E+03,2.187766E+02,4.677518E-01,1.688079E-02 
00:24:00,4.038848E+03,1.976012E+03,2.084294E-01,1.524753E-01,1.460516E+04,2.432563E+02,7.532067E-01,1.876873E-02,9.083514E+03,1.000951E+02,4.684342E-01,7.722715E-03,1.429263E+04,2.397512E+02,7.370912E-01,1.849827E-02,9.070286E+03,2.133340E+02,4.677521E-01,1.646077E-02 
00:27:00,4.038853E+03,1.980083E+03,2.084297E-01,1.527893E-01,1.460517E+04,2.355420E+02,7.532072E-01,1.817346E-02,9.083521E+03,9.548980E+01,4.684346E-01,7.367376E-03,1.429264E+04,2.327421E+02,7.370918E-01,1.795741E-02,9.070293E+03,2.077617E+02,4.677525E-01,1.603074E-02 
00:30:00,4.038858E+03,1.983885E+03,2.084299E-01,1.530827E-01,1.460518E+04,2.276266E+02,7.532078E-01,1.756268E-02,9.083528E+03,9.075417E+01,4.684350E-01,7.001980E-03,1.429265E+04,2.255294E+02,7.370923E-01,1.740085E-02,9.070300E+03,2.020653E+02,4.677529E-01,1.559115E-02 
